match_id,game_identifier,scheduled,venue_name,venue_city,home_id,home_name,home_alias,home_market,away_id,away_name,away_alias,away_market,home_games_played,home_insufficient_data,home_recent_points,home_recent_field_goals_pct,home_recent_three_points_pct,home_recent_free_throws_pct,home_recent_assists,home_recent_steals,home_recent_blocks,home_recent_offensive_rebounds,home_recent_defensive_rebounds,home_recent_wins,home_recent_losses,home_recent_win_pct,home_recent_ppg,home_recent_opp_ppg,home_recent_point_diff,home_recent_scoring_trend,away_games_played,away_insufficient_data,away_recent_points,away_recent_field_goals_pct,away_recent_three_points_pct,away_recent_free_throws_pct,away_recent_assists,away_recent_steals,away_recent_blocks,away_recent_offensive_rebounds,away_recent_defensive_rebounds,away_recent_wins,away_recent_losses,away_recent_win_pct,away_recent_ppg,away_recent_opp_ppg,away_recent_point_diff,away_recent_scoring_trend,scoring_advantage_home,form_advantage_home,defensive_advantage_home,ball_control_advantage_home,home_points,away_points,total_points,point_differential,home_won,away_won
0d9a39fa-6cd1-4660-8389-2e874955c2e6,2025-04-13_LAC@GSW,2025-04-13T19:30:00Z,Chase Center,San Francisco,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Golden State Warriors,GSW,,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA Clippers,LAC,,5,False,112.2,44.12,36.38,78.0,27.8,12.6,3.2,13.6,32.2,3,2,0.6,112.2,101.0,11.2,up,5,False,121.2,52.38,43.48,81.56,27.2,8.8,2.4,10.6,34.0,5,0,1.0,121.2,105.8,15.4,up,-9.0,-0.4,4.8,0.6,119,124,243,-5,0,1
1431424a-d8e4-41f8-8e5f-167a54f8bd68,2025-04-13_DEN@HOU,2025-04-13T19:30:00Z,Toyota Center,Houston,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Houston Rockets,HOU,,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets,DEN,,5,False,120.0,49.56,41.12,66.06,25.2,8.0,5.4,12.4,34.2,3,2,0.6,120.0,117.2,2.8,up,5,False,114.2,49.18,30.6,77.0,29.4,6.6,4.4,10.6,37.4,2,3,0.4,114.2,116.2,-2.0,down,5.8,0.2,-1.0,-4.2,111,126,237,-15,0,1
1f216c79-9484-4eb3-8623-28cee2ee4f86,2025-04-13_PHX@SAC,2025-04-13T19:30:00Z,Golden 1 Center,Sacramento,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Sacramento Kings,SAC,,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns,PHX,,5,False,117.6,49.0,40.84,84.48,23.8,5.2,3.2,11.6,31.6,3,2,0.6,117.6,111.4,6.2,up,5,False,105.0,44.18,29.64,82.4,24.8,9.8,4.4,12.2,29.0,1,4,0.2,105.0,118.2,-13.2,down,12.6,0.4,6.8,-1.0,109,98,207,11,1,0
334ed4e4-bc79-4ed9-ad9c-c1bfacd5ceb3,2025-04-13_DAL@MEM,2025-04-13T19:30:00Z,FedExForum,Memphis,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies,MEM,,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,Dallas Mavericks,DAL,,5,False,115.4,46.12,37.1,76.54,23.6,7.4,3.4,11.6,36.2,3,2,0.6,115.4,113.8,1.6,down,5,False,107.2,49.44,34.02,71.4,25.6,6.6,6.4,8.2,35.0,2,3,0.4,107.2,116.2,-9.0,down,8.2,0.2,2.4,-2.0,132,97,229,35,1,0
389376be-0704-466e-b2b9-b9653f7a7f35,2025-04-13_TOR@SAS,2025-04-13T19:30:00Z,Frost Bank Center,San Antonio,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,San Antonio Spurs,SAS,,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,TOR,,5,False,110.2,46.22,36.7,74.66,26.6,7.8,3.8,9.0,32.2,1,4,0.2,110.2,116.8,-6.6,up,5,False,111.2,44.94,33.68,67.94,28.4,11.6,3.4,14.8,31.0,2,3,0.4,111.2,111.6,-0.4,down,-1.0,-0.2,-5.2,-1.8,125,118,243,7,1,0
570754f9-bf4f-4578-929a-a65688da854e,2025-04-13_OKC@NOP,2025-04-13T19:30:00Z,Smoothie King Center,New Orleans,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans,NOP,,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City Thunder,OKC,,5,False,108.8,44.88,36.74,69.8,27.8,7.6,3.2,12.0,32.6,0,5,0.0,108.8,128.6,-19.8,stable,5,False,123.2,49.98,40.68,75.88,27.0,9.6,4.0,8.8,31.6,3,2,0.6,123.2,118.8,4.4,down,-14.4,-0.6,-9.8,0.8,100,115,215,-15,0,1
5fcbc56c-999f-46fa-83c6-fbd9b3dd5251,2025-04-13_UTA@MIN,2025-04-13T19:30:00Z,Target Center,Minneapolis,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Minnesota Timberwolves,MIN,,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,UTA,,5,False,116.0,51.28,35.38,78.64,26.0,5.2,5.6,9.8,34.8,4,1,0.8,116.0,105.0,11.0,down,5,False,119.0,44.14,33.42,79.68,25.0,8.6,3.6,14.2,33.0,1,4,0.2,119.0,140.2,-21.2,down,-3.0,0.6,35.2,1.0,116,105,221,11,1,0
67ef6fa7-b379-41a0-aa1a-8806228ef338,2025-04-13_LAL@POR,2025-04-13T19:30:00Z,Moda Center,Portland,583ed056-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,POR,,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Lakers,LAL,,5,False,111.4,43.62,27.32,77.24,23.2,9.8,5.2,14.2,35.2,2,3,0.4,111.4,113.2,-1.8,up,5,False,124.4,52.12,44.74,75.08,24.4,8.0,2.2,9.4,31.6,4,1,0.8,124.4,109.8,14.6,down,-13.0,-0.4,-3.4,-1.2,109,81,190,28,1,0
00a76fdf-bbb6-4117-ad41-17942a5f2614,2025-04-13_IND@CLE,2025-04-13T17:00:00Z,Rocket Arena,Cleveland,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,CLE,,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,IND,,5,False,116.4,48.74,40.16,66.0,28.8,8.6,3.4,12.0,33.4,3,2,0.6,116.4,112.4,4.0,up,5,False,119.6,46.84,34.56,73.64,29.0,7.2,9.4,11.6,34.6,4,1,0.8,119.6,114.2,5.4,up,-3.2,-0.2,1.8,-0.2,118,126,244,-8,0,1
0562f349-ab5d-40d3-a7a2-d2073ccdaaea,2025-04-13_CHA@BOS,2025-04-13T17:00:00Z,TD Garden,Boston,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics,BOS,,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets,CHA,,5,False,114.4,47.46,36.7,78.28,28.4,5.8,5.2,12.6,36.2,4,1,0.8,114.4,100.0,14.4,up,5,False,101.8,43.26,29.48,75.66,22.4,4.8,3.0,8.6,33.8,0,5,0.0,101.8,127.2,-25.4,up,12.6,0.8,27.2,6.0,93,86,179,7,1,0
